名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
古崖居景区,北京,北京,延庆区,010,69110333,延庆区其他,古龙路东门营村,景点,古代遗迹,115.775452,40.462917
故宫博物院,北京,北京,北京,010,4009501925,王府井/东单,景山前街4号,景点,博物馆,116.397049,39.917965
郭守敬纪念馆,北京,北京,北京,010,83224626,后海/什刹海,德胜门西大街甲60号汇通祠内,景点,纪念馆,116.374237,39.948044
孔庙和国子监博物馆,北京,北京,北京,010,64075259;64057214,雍和宫/地坛,国子监街15号,景点,博物馆,116.413933,39.946651
和敬公主府,北京,北京,北京,010,64019808,东四,张自忠路7号（原铁狮子胡同）,景点,历史建筑,116.413437,39.934841
红螺寺,北京,北京,怀柔区,010,60681639;60681175,红螺寺,怀柔镇卢庄村北红螺东路2号,景点,宗教,116.62487,40.383263
鸿焱湖风景区,北京,北京,怀柔区,010,,怀柔区,桥梓镇沙峪口水库,景点,自然风光,116.48407,40.286706
虎峪自然风景区,北京,北京,北京,010,69771720,昌平区,南口地区虎峪路,景点,自然风光,116.106789,40.325191
黄花城水库,北京,北京,怀柔区,010,69648041,黄花城水长城,九渡河镇,景点,水利工程,116.345894,40.420753
纪晓岚故居纪念馆,北京,北京,北京,010,63036712,虎坊桥,大栅栏街道珠市口西大街241号（陕西巷南口）,景点,纪念馆,116.387245,39.890057
箭扣长城,北京,北京,怀柔区,010,61611765,渤海镇/慕田峪长城,雁栖镇西栅子村,景点,历史建筑,116.534496,40.446585
戒台寺,北京,北京,门头沟区,010,69805942;69806611,门头沟区,永定镇,景点,宗教,116.086519,39.87049
京东大峡谷,北京,北京,平谷区,010,60968317;60968260,平谷区,昌金路山东庄镇鱼子山村,景点,自然风光,117.168597,40.245186
京东石林峡风景区,北京,北京,平谷区,010,69989816;60987922,石林峡,雕窝村73号,景点,自然风光,117.241455,40.262119
精灵谷自然风景区,北京,北京,密云区,010,69016269;136****8016,密云区其他,石城镇琉辛路45号,景点,自然风光,116.781154,40.595542
敬谨亲王府,北京,北京,北京,010,,西单,教育街3号,景点,历史建筑,116.372749,39.905262
九谷口自然风景区,北京,北京,怀柔区,010,89696677,青龙峡,河防口村548号（近雁栖湖）,景点,自然风光,116.650459,40.448132
九眼楼生态长城展示区,北京,北京,延庆区,010,60186019,渤海镇/慕田峪长城,四海镇石窑村,景点,古代遗迹,116.491074,40.491745
居庸关长城,北京,北京,北京,010,60761005;69771665,居庸关长城,南口镇居庸关村,景点,历史建筑,116.073051,40.291023
可园,北京,北京,北京,010,183****1301,地安门,帽儿胡同7-13号(南锣鼓巷地铁站E西北口步行400米),景点,自然风光,116.401894,39.936516
敕赐和平寺,北京,北京,北京,010,69778491,昌平区,南口镇花塔村,景点,宗教,116.064766,40.223297
黎元洪故居,北京,北京,北京,010,,王府井/东单,王府井大街27号,景点,纪念馆,116.410568,39.922607
牛街礼拜寺,北京,北京,北京,010,63532564,牛街,牛街18号,景点,宗教,116.364594,39.885674
礼亲王府,北京,北京,北京,010,,西四,西城根南街9号（近西安门）,景点,历史建筑,116.37645,39.920647
李大钊烈士陵园,北京,北京,北京,010,62591044,香山/植物园,香山万安里1号,景点,烈士陵园,116.231453,39.981068
历代帝王庙博物馆,北京,北京,北京,010,66517739,阜成门,新街口街道阜成门内大街131号,景点,宗教,116.367355,39.924026
濂泉响谷,北京,北京,怀柔区,010,61611740,渤海镇/慕田峪长城,八道河乡八道河村,景点,自然风光,116.57502,40.495392
林白水故居,北京,北京,北京,010,,虎坊桥,棉花巷2号（虎坊桥地铁站A西北口步行440米）,景点,名人故居,116.379417,39.890312
龙泉峪长城,北京,北京,延庆区,010,135****2020,黄花城水长城,龙泉峪4号,景点,历史建筑,116.274261,40.409771
吕祖宫,北京,北京,北京,010,66068978,复兴门,顺城街15号,景点,宗教,116.357254,39.912895
落坡岭风景区,北京,北京,门头沟区,010,51860409,门头沟区,109国道与大台路交叉口西北50米,景点,自然风光,115.981262,39.986881
茅盾故居,北京,北京,北京,010,64040520,南锣鼓巷/鼓楼东大街,后圆恩寺胡同13号,景点,纪念馆,116.404739,39.93861
梅兰芳纪念馆,北京,北京,北京,010,83223598-8001,新街口,护国寺大街9号,景点,纪念馆,116.379417,39.935562
黑龙潭风景区,北京,北京,密云区,010,61016289;61016295,密云区其他,密关路石城镇大关桥西侧,景点,自然风光,116.776405,40.565098
密云水库,北京,北京,密云区,010,69014489,密云区其他,琉辛路,景点,现代建筑,116.957751,40.514187
