名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
奥伦达部落五云山,河南,郑州,荥阳市,0371,67312222,荥阳市其他,城关乡中原西路五云山大道166号,景点,现代小镇,113.29887,34.751964
河南职工国际旅行社,河南,郑州,郑州,0371,60116572,西大街,东大街59号福华大厦B座9楼E室,景点,旅行社,113.682417,34.750697
中国旅行社总社,河南,郑州,郑州,0371,66868881,儿童公园/凯旋门,王府井百货（棉纺路桐柏路交叉口锦艺濠庭3号楼2单元2604室）,景点,旅行社,113.607901,34.73272
鑫荣·中央金地服装街,河南,郑州,中牟县,0371,,豫康新城,郑港七路鑫荣·中央金地公寓东50米,景点,步行街,113.855521,34.562801
碧源月湖公园,河南,郑州,郑州,0371,86638888,北大学城,文化路与开元路交汇处（北大学城）,景点,城市公园,113.637553,34.873215
河南鸿雁国际旅行社,河南,郑州,郑州,0371,68226209,金水路/省政府,经三路纬五路广汇国贸B1305室,景点,旅行社,113.692099,34.772329
魏巍故里,河南,郑州,郑州,0371,,西大街,管城街7-7号西北方向39米,景点,古村古镇,113.677334,34.750524
河南中青国际旅行社有限公司,河南,郑州,郑州,0371,65945111,金水路/省政府,政一街7号石化大厦8楼,景点,旅行社,113.687145,34.767255
将军寨,河南,郑州,巩义市,0371,,巩义市其他,郑州巩义公川村,景点,古村古镇,113.018961,34.551911
旅游百事通,河南,郑州,郑州,0371,133****7889,东建材,商鼎路与十里铺街交叉口向南200米路东,景点,旅行社,113.730153,34.753133
河南中青国际旅行社,河南,郑州,巩义市,0371,85603088,宋陵公园,新华路216号,景点,旅行社,112.983745,34.748509
众惠旅游,河南,郑州,新郑市,0371,,领秀城,陶文路新郑·领秀城底商,景点,旅行社,113.749437,34.402811
塔林,河南,郑州,登封市,0371,62745599,少林寺风景区,少林寺西400米处的,景点,古代遗迹,112.937317,34.503477
连天峰,河南,郑州,登封市,0371,,登封市其他,嵩山少林景区三皇寨景区内,景点,自然景观,112.933576,34.470146
启母阙,河南,郑州,登封市,0371,62830518,嵩山一号,太室路与少室路交叉口北50米嵩阳景区,景点,人文古迹,113.047845,34.473123
中佛殿,河南,郑州,登封市,0371,,登封市其他,永泰寺内（东北角）,景点,宗教,112.979318,34.52026
密县城隍庙,河南,郑州,新密市,0371,,新密市其他,密县西街十字街西二十米处,景点,宗教,113.367768,34.513266
