名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
邦你游旅游网,福建,厦门,厦门,0592,152****7325,禾祥西路沿线,禾祥西路4号鸿升大厦12D之三,景点,旅行社,118.080032,24.462151
中国国旅,福建,厦门,厦门,0592,5164355;5164255,火车站,厦禾路861号九龙城202店,景点,旅行社,118.106339,24.467005
古榕公园,福建,厦门,厦门,0592,,霞梧/北区,东林路199号,景点,公园/广场,118.109032,24.604145
鹭江夜游,福建,厦门,厦门,0592,2040118;2110871,中山路/轮渡,鹭江道3-116号,景点,城市观光,118.0773,24.450071
厦门博游旅行社有限公司,福建,厦门,厦门,0592,5353326,软件园,软件园二期观日路48号802,景点,旅行社,118.187003,24.483212
许斐平故居,福建,厦门,鼓浪屿,0592,,鼓浪屿,笔山路16号,景点,名人故居,118.064791,24.447181
建南大会堂,福建,厦门,厦门,0592,,厦门大学,思明南路422号,景点,景点/周边游,118.097885,24.434357
京闽国际旅行社,福建,厦门,厦门,0592,5123333,体育中心,屿后南里158号,景点,旅行社,118.122095,24.492515
中国国旅,福建,厦门,厦门,0592,5100725;5521667,软件园,福建省厦门市思明区前埔中路273号,景点,旅行社,118.173364,24.475434
集美教堂,福建,厦门,厦门,0592,6222104,石鼓路/集美学村,浔江路179号,景点,宗教,118.1054,24.573971
集美烈士陵园,福建,厦门,厦门,0592,,云城万科里,集美大道668号,景点,烈士陵园,118.091492,24.606085
桥板骨灰室,福建,厦门,厦门,0592,,旺角/商业学生街,天马路316号,景点,人文古迹,118.104738,24.614978
兑山李氏家庙,福建,厦门,厦门,0592,,云城万科里,兑山小学西侧约140米,景点,宗教,118.088409,24.605846
小丑鱼之家,福建,厦门,厦门,0592,137****3985,石鼓路/集美学村,盛光路74号,景点,动植物园,118.10331,24.572739
张庄榕树公园,福建,厦门,厦门,0592,,集美区,灌口大道,景点,公园/广场,118.009145,24.62071
陈嘉庚语录碑廊,福建,厦门,厦门,0592,,石鼓路/集美学村,沙厦高速集美学村景区,景点,更多景点/周边游,118.094666,24.588305
三榕公园,福建,厦门,厦门,0592,,集美区,航天路888号,景点,公园/广场,117.989343,24.586147
康辉国际旅行社,福建,厦门,厦门,0592,6075533;6075566,霞梧/北区,浔江路集源南里142号,景点,旅行社,118.112892,24.605762
基督教后溪堂,福建,厦门,厦门,0592,,集美区,后溪镇后溪街路31号,景点,宗教,118.036903,24.628855
刺林公园,福建,厦门,厦门,0592,8113458,消防/日东,海翔大道以北瑶山溪以西集美物流园区一期厦门电商谷招商中心后面,景点,公园/广场,118.003952,24.578726
铁炉宫,福建,厦门,厦门,0592,,集美区,前进西井一里99,景点,历史建筑,118.025467,24.635386
晚清教育展区,福建,厦门,厦门,0592,,大学康城/杏林湾,杏林街道宋元明清教育展区附近,景点,展览馆,118.067101,24.585798
城隍庙,福建,厦门,厦门,0592,,厦门北站,孙坂北路,景点,宗教,118.043861,24.629768
广利庙,福建,厦门,厦门,0592,,大学康城/杏林湾,前场村前场街卫生所9号,景点,宗教,118.010094,24.582891
厦旅国际,福建,厦门,厦门,0592,2222297,大学康城/杏林湾,杏林街道文达路乐佰佳便利店西60米,景点,旅行社,118.057373,24.564571
厦航国旅,福建,厦门,厦门,0592,6092000,灌口/凤泉广场,安仁大道格林联盟酒店(厦门灌口店)东侧约90米,景点,旅行社,117.991539,24.609518
大明寺,福建,厦门,厦门,0592,,消防/日东,西滨路56号,景点,宗教,118.019768,24.560598
西竺寺,福建,厦门,厦门,0592,136****9415,杏南/月美池公园,杏林东路56号,景点,宗教,118.056366,24.561666
